Received Ninja Tokens,Price in BNB,Total BNB,Total Ninja Sold
1609.042364945290590292,0.003107438380076466,450,356734.76037627902947618
1594.212209261536801121,0.003136345318993683,455,358328.972585540566277301
1579.667690405415445449,0.003165222679661676,460,359908.64027594598172275
1565.400495511226757139,0.003194070791683955,465,361474.040771457208479889
1551.402633835898108621,0.003222889977721207,470,363025.44340529310658851
1537.666421230350895598,0.003251680553705069,475,364563.109826523457484108
1524.184465503459725435,0.003280442829043287,480,366087.294292026917209543
1510.949652619179726338,0.003309177106816676,485,367598.243944646096935881
1497.955133671904057304,0.003337883683968298,490,369096.199078318000993185
1485.19431258922200495,0.003366562851485218,495,370581.393390907222998135
1472.660834515013490557,0.003395214894573218,500,372054.054225422236488692
1460.348574829269913596,0.003423840092824791,505,373514.402800251506402288
1448.251628764202397526,0.003452438720380736,510,374962.654429015708799814
